"subject","trial_num","step2resp","step1resp","step2state","reward"
"EEGTDPRJ05C3973A",136,1,2,3,1
"EEGTDPRJ05C3973A",137,1,2,3,1
"EEGTDPRJ05C3973A",138,2,2,3,1
"EEGTDPRJ05C3973A",139,1,2,3,1
"EEGTDPRJ05C3973A",140,1,1,2,0
"EEGTDPRJ05C3973A",141,2,1,2,0
"EEGTDPRJ05C3973A",142,NA,NA,NA,NA
"EEGTDPRJ05C3973A",143,1,2,3,1
"EEGTDPRJ05C3973A",144,1,2,2,0
"EEGTDPRJ05C3973A",145,1,2,3,0
"EEGTDPRJ05C3973A",146,1,1,2,1
"EEGTDPRJ05C3973A",147,1,2,3,1
"EEGTDPRJ05C3973A",148,2,1,3,0
"EEGTDPRJ05C3973A",149,2,2,2,1
"EEGTDPRJ05C3973A",150,1,1,3,1
"EEGTDPRJ05DE2F63",1,2,1,2,0
"EEGTDPRJ05DE2F63",2,1,2,2,0
"EEGTDPRJ05DE2F63",3,2,2,3,1
"EEGTDPRJ05DE2F63",4,1,2,2,0
"EEGTDPRJ05DE2F63",5,2,1,2,0
"EEGTDPRJ05DE2F63",6,2,2,2,1
"EEGTDPRJ05DE2F63",7,2,2,2,1
"EEGTDPRJ05DE2F63",8,2,1,2,1
"EEGTDPRJ05DE2F63",9,2,2,3,0
"EEGTDPRJ05DE2F63",10,2,2,2,0
"EEGTDPRJ05DE2F63",11,1,1,2,1
"EEGTDPRJ05DE2F63",12,1,1,2,1
"EEGTDPRJ05DE2F63",13,1,1,2,0
"EEGTDPRJ05DE2F63",14,1,2,3,1
"EEGTDPRJ05DE2F63",15,1,2,3,1
"EEGTDPRJ05DE2F63",16,1,2,3,0
"EEGTDPRJ05DE2F63",17,2,2,3,0
"EEGTDPRJ05DE2F63",18,2,1,2,1
"EEGTDPRJ05DE2F63",19,2,1,3,0
"EEGTDPRJ05DE2F63",20,1,1,3,1
"EEGTDPRJ05DE2F63",21,1,1,3,0
"EEGTDPRJ05DE2F63",22,1,2,2,1
"EEGTDPRJ05DE2F63",23,1,2,3,0
"EEGTDPRJ05DE2F63",24,2,1,2,1
"EEGTDPRJ05DE2F63",25,2,1,3,1
"EEGTDPRJ05DE2F63",26,2,1,3,0
"EEGTDPRJ05DE2F63",27,2,2,3,1
"EEGTDPRJ05DE2F63",28,2,2,3,1
"EEGTDPRJ05DE2F63",29,2,2,3,0
"EEGTDPRJ05DE2F63",30,1,1,3,0
"EEGTDPRJ05DE2F63",31,2,1,3,0
"EEGTDPRJ05DE2F63",32,1,1,2,0
"EEGTDPRJ05DE2F63",33,2,1,2,1
"EEGTDPRJ05DE2F63",34,2,1,2,0
"EEGTDPRJ05DE2F63",35,2,1,2,0
"EEGTDPRJ05DE2F63",36,1,2,3,0
"EEGTDPRJ05DE2F63",37,2,2,3,1
"EEGTDPRJ05DE2F63",38,2,2,3,1
"EEGTDPRJ05DE2F63",39,2,2,3,1
"EEGTDPRJ05DE2F63",40,2,2,3,1
